,v1,v2
5283,ham,"Yeah, probably here for a while"
183,ham,"He will, you guys close?"
1485,ham,"(I should add that I don't really care and if you can't I can at least get this dude to fuck off but hey, your money if you want it)"
642,ham,Probably gonna swing by in a wee bit
4705,ham,Wow so healthy. Old airport rd lor. Cant thk of anything else. But i'll b bathing my dog later.
2244,ham,No management puzzeles.
1071,spam,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid12hrs only
1220,spam,No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
2549,ham,Yup but not studying surfing lor. I'm in e lazy mode today.
3752,ham,Ya that one is slow as poo
2228,ham,Those were my exact intentions
1315,ham,"Whenevr ur sad, Whenevr ur gray, Remembr im here 2 listn 2 watevr u wanna say, Jus walk wid me a little while,&amp; I promise I'll bring back ur smile.:-)"
5141,spam,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone
4584,spam,U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08718727870150ppm
2826,ham,"Oh right, ok. I'll make sure that i do loads of work during the day!  got a really nasty cough today and is dry n shot so that should really help it!"
1498,ham,"Time n Smile r the two crucial things in our life. Sometimes time makes us to forget smile, and sometimes someone's smile makes us to forget time gud noon"
2642,ham,"They can try! They can get lost, in fact. Tee hee"
1894,spam,"FreeMsg Hey U, i just got 1 of these video/pic fones, reply WILD to this txt & ill send U my pics, hurry up Im so bored at work xxx (18 150p/rcvd STOP2stop)"
653,ham,Fine i miss you very much.
429,ham,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob
4385,ham,", im .. On the snowboarding trip. I was wondering if your planning to get everyone together befor we go..a meet and greet kind of affair? Cheers, "
1168,ham,Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow
1702,ham,I have lost 10 kilos as of today!
1183,ham,Am i that much bad to avoid like this?
4526,ham,Understand. his loss is my gain :) so do you work? School?
5451,ham,Just sing HU. I think its also important to find someone female that know the place well preferably a citizen that is also smart to help you navigate through. Even things like choosing a phone plan require guidance. When in doubt ask especially girls.
915,ham,I could ask carlos if we could get more if anybody else can chip in
1536,ham,How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!
259,ham,I‰Û÷m parked next to a MINI!!!! When are you coming in today do you think?
63,ham,"Sorry my roommates took forever, it ok if I come by now?"
5410,ham,"Daddy, shu shu is looking 4 u... U wan me 2 tell him u're not in singapore or wat?"
2865,ham,Smith waste da.i wanna gayle.
4336,ham,on a Tuesday night r u 4 real
4909,ham,WE REGRET TO INFORM U THAT THE NHS HAS MADE A MISTAKE.U WERE NEVER ACTUALLY BORN.PLEASE REPORT 2 YOR LOCAL HOSPITAL 2B TERMINATED.WE R SORRY 4 THE INCONVENIENCE
3733,ham,"4 tacos + 1 rajas burrito, right?"
2087,ham,\alright babe
3378,ham,Dear umma she called me now :-)
4003,ham,Well there's a pattern emerging of my friends telling me to drive up and come smoke with them and then telling me that I'm a weed fiend/make them smoke too much/impede their doing other things so you see how I'm hesitant
1544,ham,After completed degree. There is no use in joining finance.
2886,ham,K I'll take care of it
2819,spam,INTERFLORA - åÒIt's not too late to order Interflora flowers for christmas call 0800 505060 to place your order before Midnight tomorrow.
721,ham,S'fine. Anytime. All the best with it.
693,ham,Will purchase d stuff today and mail to you. Do you have a po box number?
1209,ham,His bday real is in april .
5230,ham,"Nope, I'm still in the market"
4955,ham,"Ahhhh...just woken up!had a bad dream about u tho,so i dont like u right now :) i didnt know anything about comedy night but i guess im up for it."
287,ham,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx
4024,ham, &lt;#&gt;  in mca. But not conform.
3857,ham,R u still working now?
5161,ham,Lol no. I just need to cash in my nitros. Hurry come on before I crash out!
5453,ham,Except theres a chick with huge boobs.
3317,ham,I'm freezing and craving ice. Fml
1755,ham,Really good:)dhanush rocks once again:)
2585,ham,I will be outside office take all from there
561,ham,Thanx 4 e brownie it's v nice...
2458,ham,"Cool, I'll text you when I'm on the way"
5109,ham,Oh you got many responsibilities.
1543,spam,"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow"
4581,ham,Wow didn't think it was that common. I take it all back ur not a freak! Unless u chop it off:-)
5380,ham,Its sunny in california. The weather's just cool
1436,ham,"I jus hope its true that  missin me cos i'm really missin him! You haven't done anything to feel guilty about, yet."
969,ham,"It wont b until 2.15 as trying 2 sort house out, is that ok?"
2615,ham,2marrow only. Wed at  &lt;#&gt;  to 2 aha.
2951,ham,Tell me whos this pls:-)
2273,ham,Cold. Dont be sad dear
2594,ham,"That‰Û÷s the thing with apes, u can fight to the death to keep something, but the minute they have it when u let go, thats it!"
210,ham,"What's up bruv, hope you had a great break. Do have a rewarding semester."
47,ham,"Fair enough, anything going on?"
3163,ham,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD"
2153,ham,I dont have i shall buy one dear
911,ham,I am sorry it hurt you.
1743,ham,I love to wine and dine my lady!
1176,ham,"Did he say how fantastic I am by any chance, or anything need a bigger life lift as losing the will 2 live, do you think I would be the first person 2 die from N V Q? "
2187,ham,Oh god. I'm gonna Google nearby cliffs now.
4609,ham,Just glad to be talking to you.
2263,spam,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx
1115,ham,So lets make it saturday or monday as per convenience.
2834,ham,"Ya they are well and fine., BBD(pooja) full pimples..even she become quite black..and ur rite here its too cold, wearing sweatter.."
4051,ham,"Ya ok, then had dinner?"
4355,ham,Great. So should i send you my account number.
1101,ham,"Yeah go on then, bored and depressed sittin waitin for phone to ring... Hope the wind drops though, scary"
2879,spam,"Last Chance! Claim ur å£150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. å£3.00 Sub. 16"
1773,ham,"I'm not coming over, do whatever you want"
2846,spam,"Free-message: Jamster!Get the crazy frog sound now! For poly text MAD1, for real text MAD2 to 88888. 6 crazy sounds for just 3 GBP/week! 16+only! T&C's apply"
1672,spam,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only
2646,ham,"Em, its olowoyey@ usc.edu have a great time in argentina. Not sad about secretary, everything is a blessing"
5388,ham,NOT MUCH NO FIGHTS. IT WAS A GOOD NITE!!
354,ham,&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.
2589,spam,Join the UK's horniest Dogging service and u can have sex 2nite!. Just sign up and follow the instructions. Txt ENTRY to 69888 now! Nyt.EC2A.3LP.msg@150p
1892,spam,CALL 09090900040 & LISTEN TO EXTREME DIRTY LIVE CHAT GOING ON IN THE OFFICE RIGHT NOW TOTAL PRIVACY NO ONE KNOWS YOUR [sic] LISTENING 60P MIN 24/7MP 0870753331018+
932,ham,So do you have samus shoulders yet
4640,ham,Havent.
2287,ham,Alex knows a guy who sells mids but he's down in south tampa and I don't think I could set it up before like 8
5459,ham,If you hear a loud scream in about &lt;#&gt; minutes its cause my Gyno will be shoving things up me that don't belong :/
2029,ham,Thanx but my birthday is over already.
5089,ham,What type of stuff do you sing?
1654,ham,"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance.."""
414,spam,100 dating service cal;l 09064012103 box334sk38ch
1393,ham,Oh ok..
4708,ham,"Haha awesome, I might need to take you up on that, what you doin tonight?"
3214,ham,I want snow. It's just freezing and windy.
4618,ham,"Sorry, I'll call later In meeting."
3626,ham,Still chance there. If you search hard you will get it..let have a try :)
2124,ham,"Beautiful Truth against Gravity.. Read carefully: \Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it..\"" GOOD NIGHT"""
2328,ham,That day you asked about anand number. Why:-)
3334,ham,"Sorry, got a late start, we're on the way"
1844,ham,Da is good good player.why he is unsold.
1223,ham,Rofl betta invest in some  anti aging products
2445,ham,"The guy (kadeem) hasn't been selling since the break, I know one other guy but he's paranoid as fuck and doesn't like selling without me there and I can't be up there til late tonight"
4129,ham,And by when you're done I mean now
252,ham,What you doing?how are you?
3753,spam,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com
654,ham,Did u got that persons story
350,ham,"Nah can't help you there, I've never had an iphone"
5423,ham,"Sorry, I'll call later"
3740,spam,2/2 146tf150p
2201,ham,"A boy was late 2 home. His father: \POWER OF FRNDSHIP\"""""
4378,ham,How are you. Just checking up on you
457,ham,I hope you that's the result of being consistently intelligent and kind. Start asking him about practicum links and keep your ears open and all the best. ttyl
3434,ham,"\Hi darlin i cantdo anythingtomorrow as myparents aretaking me outfor a meal. when are u free? Katexxx\"""""
978,ham,Hey you can pay. With salary de. Only  &lt;#&gt; .
90,ham,Yeah do! Don‰Û÷t stand to close tho- you‰Û÷ll catch something!
798,ham,Ok i msg u b4 i leave my house.
3340,ham,Still i have not checked it da. . .
5120,spam,PRIVATE! Your 2003 Account Statement for 078
3767,ham,Where are you call me.
26,ham,Lol your always so convincing.
952,ham,"Beautiful Truth against Gravity.. Read carefully: \Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it..\"" GOOD NIGHT"""
549,ham,Ok give me 5 minutes I think I see her. BTW you're my alibi. You were cutting my hair the whole time.
3497,ham,You said to me before i went back to bed that you can't sleep for anything.
1477,ham,Why you keeping me away like this
181,ham,Lol no. U can trust me.
1292,ham,Da my birthdate in certificate is in april but real date is today. But dont publish it. I shall give you a special treat if you keep the secret. Any way thanks for the wishes
263,spam,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698
2835,ham,Nice.nice.how is it working?
2321,ham,Ok...
2640,ham,Pandy joined 4w technologies today.he got job..
4841,ham,"Awesome, that gonna be soon or later tonight?"
4459,ham,This is wishing you a great day. Moji told me about your offer and as always i was speechless. You offer so easily to go to great lengths on my behalf and its stunning. My exam is next friday. After that i will keep in touch more. Sorry.
2561,ham,And maybe some pressies
3200,ham,Nice.nice.how is it working?
2654,ham,Its sarcasm.. .nt scarcasim
5149,ham,Pls call me da. What happen.
4211,spam,Missed call alert. These numbers called but left no message. 07008009200
5054,ham,Am on a train back from northampton so i'm afraid not! I'm staying skyving off today ho ho! Will be around wednesday though. Do you fancy the comedy club this week by the way?
3128,ham,"Haha better late than ever, any way I could swing by?"
4796,spam,Santa calling! Would your little ones like a call from Santa Xmas Eve? Call 09077818151 to book you time. Calls1.50ppm last 3mins 30s T&C www.santacalling.com
3095,ham,We walked from my moms. Right on stagwood pass right on winterstone left on victors hill. Address is &lt;#&gt;
4845,ham,Pls help me tell Ashley that i cant find her number oh
3632,ham,Hui xin is in da lib.
2742,ham,No * am working on the ringing u thing but have whole houseful of screaming brats so * am pulling my hair out! Loving u
3711,ham,Wat u doing there?
5177,ham,"Very strange.  and  are watching the 2nd one now but i'm in bed. Sweet dreams, miss u "
4591,ham,Right it wasnt you who phoned it was someone with a number like yours!
1526,ham,"Wow ... I love you sooo much, you know ? I can barely stand it ! I wonder how your day goes and if you are well, my love ... I think of you and miss you"
4108,ham,I want to lick your pussy now...
1988,ham,"Sorry, I'll call later"
2486,ham,I dont thnk its a wrong calling between us
2518,ham,Joy's father is John. Then John is the NAME of Joy's father. Mandan
4250,ham,Omg Joanna is freaking me out. She's looked thru all my friends to find photos of me. And then she's asking about stuff on my MySpace which I haven't even logged on in like a year. :/
69,ham,I plane to give on this month end.
4080,ham,Hurry home. Soup is DONE!
3718,spam,"Thanks for your ringtone order, reference number X49. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182. From: [colour=red]text[/colour]TXTstar"
676,ham,Maybe?! Say hi to  and find out if  got his card. Great escape or wetherspoons? 
5469,ham,Ok lor.
5470,ham,I thought slide is enough.
1890,ham,Ok but knackered. Just came home and went to sleep! Not good at this full time work lark.
2899,ham,Come aftr  &lt;DECIMAL&gt; ..now i m cleaning the house
203,ham,Goodmorning sleeping ga.
3575,ham,"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL"
2669,spam,we tried to contact you re your response to our offer of a new nokia fone and camcorder hit reply or call 08000930705 for delivery
339,ham,U calling me right? Call my hand phone...
4407,ham,Take care and sleep well.you need to learn to change in life.you only need to get CONVINCED on that.i will wait but no more conversations between us.GET CONVINCED by that time.Your family is over for you in many senses.respect them but not overemphasise.or u have no role in my life.
4092,ham,"\Life is nothing wen v get everything\"". But \""life is everything wen v miss something \"". Real value of people wil be realized only in their absence.... gud mrng"""
2121,ham,In xam hall boy asked girl Tell me the starting term for dis answer I can den manage on my own After lot of hesitation n lookin around silently she said THE! intha ponnungale ipaditan;)
479,ham,When're you guys getting back? G said you were thinking about not staying for mcr
387,ham,Mm that time you dont like fun
1020,ham,"Good afternoon on this glorious anniversary day, my sweet J !! I hope this finds you happy and content, my Prey. I think of you and send a teasing kiss from across the sea coaxing images of fond souveniers ... You Cougar-Pen"
4343,ham,Hi:)did you asked to waheeda fathima about leave?
2133,ham,"Spoke with uncle john today. He strongly feels that you need to sacrifice to keep me here. He's going to call you. When he does, i beg you to just listen. Dont make any promises or make it clear things are not easy. And i need you to please let us work things out. As long as i keep expecting help, my creativity will be stifled so pls just keep him happy, no promises on your part."
3891,spam,URGENT This is our 2nd attempt to contact U. Your å£900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893. ACL03530150PM
1729,ham,Lol yeah at this point I guess not
3227,spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
1350,ham,Bugis oso near wat... 
4004,ham,", ow u dey.i paid 60,400thousad.i told  u would call . "
3082,ham,K..k:)how about your training process?
5502,ham,Apo all other are mokka players only
3094,ham,Olol i printed out a forum post by a guy with the exact same  prob which was fixed with a gpu replacement. Hopefully they dont ignore that.
4951,spam,"Welcome to Select, an O2 service with added benefits. You can now call our specially trained advisors FREE from your mobile by dialling 402."
2603,ham,"\Im at arestaurant eating squid! i will be out about 10:30 wanna dosomething or is that to late?\"""""
3758,ham,"GOD ASKED, \What is forgiveness?\"" A little child gave lovely reply"
4878,ham,Yeah just open chat and click friend lists. Then make the list. Easy as pie
2100,ham,Oh Howda gud gud.. Mathe en samachara chikku:-)
3995,ham,We'll you pay over like  &lt;#&gt; yrs so its not too difficult
2436,ham,Btw regarding that we should really try to see if anyone else can be our 4th guy before we commit to a random dude
221,ham,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..
5055,ham,Goodnight da thangam I really miss u dear.
677,ham,"Piggy, r u awake? I bet u're still sleeping. I'm going 4 lunch now..."
1144,ham,Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-(
1374,spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION"
1599,ham,"Yeah probably, I still gotta check out with leo"
805,ham,I dled 3d its very imp
61,ham,Ha ha ha good joke. Girls are situation seekers.
1090,spam,WIN URGENT! Your mobile number has been awarded with a å£2000 prize GUARANTEED call 09061790121 from land line. claim 3030 valid 12hrs only 150ppm 
3819,ham,"I got arrested for possession at, I shit you not,  &lt;TIME&gt;  pm"
4005,ham,IM FINE BABES AINT BEEN UP 2 MUCH THO! SAW SCARY MOVIE YEST ITS QUITE FUNNY! WANT 2MRW AFTERNOON? AT TOWN OR MALL OR SUMTHIN?xx
3135,ham,Can you let me know details of fri when u find out cos I'm not in tom or fri. mentionned chinese. Thanks
1438,ham,"Arms fine, how's Cardiff and uni? "
1652,spam,"For ur chance to win a å£250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk"
4295,spam,Please CALL 08712402578 immediately as there is an urgent message waiting for you
4403,ham,"Sorry, I'll call later  &lt;#&gt; mins"
5140,ham,Yeah I imagine he would be really gentle. Unlike the other docs who treat their patients like turkeys.
177,ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth"
4470,ham,Wa... U so efficient... Gee... Thanx...
2456,ham,Onum ela pa. Normal than.
5400,ham,HARD BUT TRUE: How much you show &amp;  express your love to someone....that much it will hurt when they leave you or you get seperated...!Žö´‰Ó_??‹Û¬ud evening...
4039,ham,I'm at home n ready...
5446,ham,I am back. Good journey! Let me know if you need any of the receipts. Shall i tell you like the pendent?
4081,ham,No no. I will check all rooms befor activities
5457,ham,Arun can u transfr me d amt
4516,ham,"Men always needs a beautiful, intelligent, caring, loving, adjustable, cooperative wife. But the law allows only one wife...."
2515,ham,Bognor it is! Should be splendid at this time of year.
733,ham,Even u dont get in trouble while convincing..just tel him once or twice and just tel neglect his msgs dont c and read it..just dont reply
3217,ham,Don know:)this week i'm going to tirunelvai da.
4709,ham,Ya i knw u vl giv..its ok thanks kano..anyway enjoy wit ur family wit 1st salary..:-);-)
2677,ham,Where in abj are you serving. Are you staying with dad or alone.
527,ham,Yes! How is a pretty lady like you single?
3616,ham,Sorry sent blank msg again. Yup but trying 2 do some serious studying now.
1874,spam,Would you like to see my XXX pics they are so hot they were nearly banned in the uk!
1593,spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04
1425,ham,I'll be at mu in like  &lt;#&gt;  seconds
4837,ham,All boys made fun of me today. Ok i have no problem. I just sent one message just for fun
803,spam,You have won a guaranteed å£200 award or even å£1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX
4950,ham,hi baby im sat on the bloody bus at the mo and i wont be home until about 7:30 wanna do somethin later? call me later ortxt back jess xx
1097,ham,Don't fret. I'll buy the ovulation test strips and send them to you. You wont get them til like march. Can you send me your postal address.u'll be alright.Okay.
2107,ham,"Hmmm ... And imagine after you've come home from that having to rub my feet, make me dinner and help me get ready for my date ! Are you sure your ready for that kind of life ?"
2473,ham,Ok lor wat time Ì_ finish?
4350,ham,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng"
1129,ham,"So check your errors and if you had difficulties, do correction."
219,ham,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.
4608,ham,Y de asking like this.
582,spam,We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow
2750,ham,Ok but tell me half an hr b4 u come i need 2 prepare.
43,ham,WHO ARE YOU SEEING?
1175,ham,Horrible u eat macs eat until u forgot abt me already rite... U take so long 2 reply. I thk it's more toot than b4 so b prepared. Now wat shall i eat?
5420,ham,I dont know oh. Hopefully this month.
3901,ham,"Right on brah, see you later"
4886,spam,Todays Vodafone numbers ending with 4882 are selected to a receive a å£350 award. If your number matches call 09064019014 to receive your å£350 award.
718,spam,You have WON a guaranteed å£1000 cash or a å£2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm
4010,spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!
670,ham,Ho ho - big belly laugh! See ya tomo
3400,ham,Thanks honey. Have a great day.
3211,ham,We got a divorce. Lol. She.s here
1514,ham,K:)all the best:)congrats...
2944,ham,"Hey babe, sorry i didn't get sooner. Gary can come and fix it cause he thinks he knows what it is but he doesn't go as far a Ptbo and he says it will cost  &lt;#&gt;  bucks. I don't know if it might be cheaper to find someone there ? We don't have any second hand machines at all right now, let me know what you want to do babe"
95,spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML"
1770,ham,Dont show yourself. How far. Put new pictures up on facebook.
842,ham,Our Prashanthettan's mother passed away last night. pray for her and family.
1321,ham,"I wake up long ago already... Dunno, what other thing?"
4666,ham,I send the print  outs da.
4629,ham,Everybody had fun this evening. Miss you.
2481,ham,K.:)do it at evening da:)urgent:)
1962,spam,it to 80488. Your 500 free text messages are valid until 31 December 2005.
2963,spam,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?"
2348,ham,That seems unnecessarily affectionate
322,ham,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x
4008,ham,Ha... Then we must walk to everywhere... Cannot take tram. My cousin said can walk to vic market from our hotel 
4905,ham,Will you come online today night
5063,ham,I dunno lei... Like dun haf...
334,spam,Valentines Day Special! Win over å£1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.
2873,ham,Crucify is c not s. You should have told me earlier.
3537,ham,We are pleased to inform that your application for Airtel Broadband is processed successfully. Your installation will happen within 3 days.
833,ham,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy! This is the message i sent days ago"
3080,ham,Have a great trip to India. And bring the light to everyone not just with the project but with everyone that is lucky to see you smile. Bye. Abiola
4810,ham,E admin building there? I might b slightly earlier... I'll call u when i'm reaching...
3529,ham,"Tyler (getting an 8th) has to leave not long after 9, can you get here in like an hour?"
2465,ham,S.i think he is waste for rr..
3880,ham,Can you plz tell me the ans. BSLVYL sent via fullonsms.com
731,ham,No he didn't. Spring is coming early yay!
291,ham,Haf u found him? I feel so stupid da v cam was working.
184,ham,Going on nothing great.bye
2377,spam,YES! The only place in town to meet exciting adult singles is now in the UK. Txt CHAT to 86688 now! 150p/Msg.
2641,spam,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18"
1407,ham,Then we gotta do it after that
533,ham,I'll be late...
3904,spam,Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow
3858,spam,"Win the newest åÒHarry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!"
1595,ham,Pls confirm the time to collect the cheque.
4903,ham,"no, i *didn't* mean to post it. I wrote it, and like so many other times i've ritten stuff to you, i let it sit there. it WAS what i was feeling at the time. I was angry. Before i left, i hit send, then stop. It wasn't there. I checked on my phone when i got to my car. It wasn't there. You said you didn't sleep, you were bored. So why wouldn't THAT be the time to clean, fold laundry, etc.? At least make the bed?"
657,ham,You will be in the place of that man
4674,spam,"Hi babe its Chloe, how r u? I was smashed on saturday night, it was great! How was your weekend? U been missing me? SP visionsms.com Text stop to stop 150p/text"
3002,ham,I will see in half an hour
5371,ham,"Lol, oh you got a friend for the dog ?"
2259,ham,Ill call you evening ill some ideas.
898,ham,"Thursday night? Yeah, sure thing, we'll work it out then"
428,ham,7 at esplanade.. Do Ì_ mind giving me a lift cos i got no car today..
3641,ham,My house here e sky quite dark liao... If raining then got excuse not 2 run already rite... Hee...
2191,ham,Thankyou so much for the call. I appreciate your care.
1483,ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng musthu
1699,ham,Ok...
2135,ham,"Carlos took a while (again), we leave in a minute"
1789,ham,Takin a shower now but yeah I'll leave when I'm done
1163,ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
1193,spam,Sex up ur mobile with a FREE sexy pic of Jordan! Just text BABE to 88600. Then every wk get a sexy celeb! PocketBabe.co.uk 4 more pics. 16 å£3/wk 087016248
2941,ham,"Hello. No news on job, they are making me wait a fifth week! Yeah im up for some woozles and weasels... In exeter still, but be home about 3. "
1553,ham,Ok how you dear. Did you call chechi
2138,ham,K still are you loving me.
4264,ham, &lt;DECIMAL&gt; m but its not a common car here so its better to buy from china or asia. Or if i find it less expensive. I.ll holla
2439,ham,Rightio. 11.48 it is then. Well arent we all up bright and early this morning.
5556,ham,Yes i have. So that's why u texted. Pshew...missing you so much
4205,ham,"Get the door, I'm here"
4293,spam,Kit Strip - you have been billed 150p. Netcollex Ltd. PO Box 1013 IG11 OJA
1978,ham,No I'm in the same boat. Still here at my moms. Check me out on yo. I'm half naked.
3989,spam,(Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..
3935,ham,They r giving a second chance to rahul dengra.
4078,ham,O i played smash bros  &lt;#&gt;  religiously.
4086,spam,PRIVATE! Your 2003 Account Statement for 07973788240 shows 800 un-redeemed S. I. M. points. Call 08715203649 Identifier Code: 40533 Expires 31/10/04
4919,ham,"G says you never answer your texts, confirm/deny"
2268,spam,88066 FROM 88066 LOST 3POUND HELP
4696,ham,"Okey dokey, i‰Û÷ll be over in a bit just sorting some stuff out."
3653,ham,Why i come in between you people
70,ham,Wah lucky man... Then can save money... Hee...
4467,ham,Much better now thanks lol
2418,ham,"Madam,regret disturbance.might receive a reference check from DLF Premarica.kindly be informed.Rgds,Rakhesh,Kerala."
2623,ham,I'm coming home 4 dinner.
1272,ham,Ok...
1454,ham,Can Ì_ all decide faster cos my sis going home liao..
831,ham,Hi mate its RV did u hav a nice hol just a message 3 say hello coz havenåÕt sent u 1 in ages started driving so stay off roads!RVx
5082,ham,Amazing : If you rearrange these letters it gives the same meaning... Dormitory = Dirty room Astronomer = Moon starer The eyes = They see Election results = Lies lets recount Mother-in-law = Woman Hitler Eleven plus two =Twelve plus one Its Amazing... !:-)
1893,ham,Good Morning plz call me sir
3269,ham,K actually can you guys meet me at the sunoco on howard? It should be right on the way
238,ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
5426,ham,Oh yeah! And my diet just flew out the window
4867,ham,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?"
3435,ham,If india win or level series means this is record:)
5542,ham,Armand says get your ass over to epsilon
1295,ham,TELL HER I SAID EAT SHIT.
2998,ham,"Oh, then your phone phoned me but it disconnected"
1001,spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!
1512,ham,"Hey sweet, I was wondering when you had a moment if you might come to me ? I want to send a file to someone but it won't go over yahoo for them because their connection sucks, remember when you set up that page for me to go to and download the format disc ? Could you tell me how to do that ? Or do you know some other way to download big files ? Because they can download stuff directly from the internet. Any help would be great, my prey ... *teasing kiss*"
4370,ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng
3458,spam,Not heard from U4 a while. Call me now am here all night with just my knickers on. Make me beg for it like U did last time 01223585236 XX Luv Nikiyu4.net
2350,ham,You will be in the place of that man
957,ham,Welp apparently he retired
2229,ham,haha but no money leh... Later got to go for tuition... Haha and looking for empty slots for driving lessons
4301,ham,Aiyar hard 2 type. U later free then tell me then i call n scold n tell u.
2240,ham,K I'll call you when I'm close
1437,ham,Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...
5351,ham,Yup it's at paragon... I havent decided whether 2 cut yet... Hee...
1876,ham,Watching tv now. I got new job :)
